(2, 1)
(3, 2)
(3, 1)
(7, 3)
(5, 2)
(4, 1)
(5, 1)
(6, 2)
(7, 2)
(12, 3)
(6, 1)
(15, 3)
(7, 1)
(16, 3)
(8, 1)
(17, 3)
(9, 1)
(20, 3)
(13, 2)
(10, 1)
(11, 1)
(16, 2)
(12, 1)
(25, 3)
(18, 2)
(19, 2)
(13, 1)
(20, 2)
(14, 1)
(30, 3)
(15, 1)
(22, 2)
(16, 1)
(23, 2)
(17, 1)
(35, 3)
(25, 2)
(18, 1)
(37, 3)
(19, 1)
(26, 2)
(20, 1)
(39, 3)
(29, 2)
(21, 1)
(31, 2)
(22, 1)
(23, 1)
(47, 3)
(24, 1)
(32, 2)
(51, 3)
(25, 1)
(34, 2)
(54, 3)
(26, 1)
(33, 2)
(27, 1)
(57, 3)
(28, 1)
(36, 2)
(29, 1)
(61, 3)
(39, 2)
(30, 1)
(40, 2)
(31, 1)
(66, 3)
(42, 2)
(32, 1)
(45, 2)
(46, 2)
(33, 1)
(47, 2)
(34, 1)
(75, 3)
(35, 1)
(73, 3)
(48, 2)
(36, 1)
(74, 3)
(37, 1)
(50, 2)
(51, 2)
(38, 1)
(39, 1)
(83, 3)
(53, 2)
(40, 1)
(41, 1)
(84, 3)
(42, 1)
(55, 2)
(43, 1)
(45, 1)
(59, 2)
